ID,State,Municipality,Municipality - code,Contract Date,Month,Year,Transaction Value in R$,Disbursed Value R$ (*),Interest ,Grace Period (months),Amortization Period (months),CNAE Sector Grouped ,CNAE Subsector ,CNAE Subsector - name ,BNDES Sector ,BNDES Subsector,Client Size,Accredited Financial Institution
13, RS,SAO LEOPOLDO,4318705,2018/06/28,jun.,2018,"2 126 129,00","2 126 129,00","4,00","24,00","96,00",Manufacturing,Rubber and Plastics,Manufacture of Rubber Products (Not Elsewhere Classified),Industry,Others,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
14, PR,PRESIDENTE CASTELO BRANCO,4120408,2018/07/04,jul.,2018,"748 947,00","747 819,00","4,40","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
15, PR,PAICANDU,4117503,2018/07/04,jul.,2018,"98 170,00","94 330,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
16, PR,TERRA BOA,4127205,2018/07/04,jul.,2018,"107 002,00","99 450,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
17, PR,PARANACITY,4118105,2018/07/04,jul.,2018,"89 338,00","83 706,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
18, PR,OURIZONA,4117404,2018/07/04,jul.,2018,"102 259,00","85 114,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
19, PR,DOURADINA,4107256,2018/07/04,jul.,2018,"36 218,00","33 786,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
20, PR,TUNEIRAS DO OESTE,4127908,2018/07/04,jul.,2018,"47 923,00","44 474,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
21, PR,TAPIRA,4126900,2018/07/04,jul.,2018,"65 395,00","59 898,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
22, PR,CRUZEIRO DO OESTE,4106605,2018/07/04,jul.,2018,"70 650,00","65 850,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
23, PR,NOVA ESPERANCA,4116901,2018/07/04,jul.,2018,"53 562,00","52 346,00","4,50","24,00","120,00",Commerce and Services,Support Activities for Transportation and Delivery,Warehousing and Storage Services (Except General Warehouses and Moving Storage),Infrastructure,Support Activities for Transportation,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
24, SC,ITAJAI,4208203,2018/07/04,jul.,2018,"1 080 000,00","1 080 000,00","4,00","24,00","120,00",Commerce and Services,Accommodation and Food Services,Hotels,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
25, MG,FRUTAL,3127107,2018/07/06,jul.,2018,"43 419,00","42 955,00","4,00","3,00","57,00",Commerce and Services,Commerce,Retail Trade of Apparel and Accessories,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
26, MG,ITURAMA,3134400,2018/07/06,jul.,2018,"47 768,00","47 200,00","4,00","3,00","33,00",Commerce and Services,"Real Estate, Professional and Administrative Activities",Accounting Activities,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
27, SC,FAXINAL DOS GUEDES,4205308,2018/07/16,jul.,2018,"332 942,00","332 942,00","4,00","24,00","120,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
28, SC,FAXINAL DOS GUEDES,4205308,2018/07/16,jul.,2018,"797 308,00","797 308,00","4,00","24,00","120,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
29, SC,CAPINZAL,4203907,2018/07/17,jul.,2018,"5 000 000,00","4 680 000,00","4,00","18,00","126,00",Manufacturing,Machinery and Equipment,Manufacture of General Machinery and Equipment (Not Elsewhere Classified),Industry,Mechanical,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
30, SC,SAO MIGUEL DO OESTE,4217204,2018/07/20,jul.,2018,"1 168 128,00","1 168 128,00","4,00","24,00","120,00",Commerce and Services,Commerce,Retail Trade of Beverages,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
31, MG,CAMBUI,3110608,2018/07/20,jul.,2018,"834 400,00","834 400,00","4,00","18,00","102,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Medium,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
32, MG,CONTAGEM,3118601,2018/07/20,jul.,2018,"330 514,00","327 518,00","4,00","12,00","48,00",Manufacturing,"Motor Vehicles, Trailers and Bodies",Manufacture of Engine Parts and Accessories for Motor Vehicles,Industry,Transport Equipment,Medium,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
33, SC,PINHALZINHO,4212908,2018/07/23,jul.,2018,"282 598,00","282 598,00","4,00","6,00","84,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
34, RS,SANTA MARIA DO HERVAL,4316956,2018/07/23,jul.,2018,"96 643,00","95 894,00","4,00","6,00","42,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
35, SC,VIDEIRA,4219309,2018/07/24,jul.,2018,"462 229,00","462 229,00","4,00","3,00","141,00",Manufacturing,Apparel and Accessories,Manufacture of Apparel (Except Underwear and Custom-Made),Industry,Textiles and Clothing,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
36, SC,PINHALZINHO,4212908,2018/07/24,jul.,2018,"160 970,00","160 970,00","4,00","24,00","96,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
37, MG,PRATA,3152808,2018/07/24,jul.,2018,"985 600,00","985 600,00","4,00","24,00","120,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Large,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
38, MG,UBERLANDIA,3170206,2018/07/25,jul.,2018,"292 642,00","242 431,00","3,90","9,00","57,00",Manufacturing,Food Products,Manufacture of Prepared Meals and Dishes,Industry,Food and Beverages,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
39, MG,NOVA LIMA,3144805,2018/07/25,jul.,2018,"209 030,00","206 957,00","4,00","3,00","57,00",Manufacturing,Miscellaneous Products,Manufacture of Fishing and Sporting Goods,Industry,Others,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
40, MG,FRUTAL,3127107,2018/07/25,jul.,2018,"53 719,00","53 146,00","4,00","3,00","57,00",Commerce and Services,Commerce,Retail Trade of Motorcycles,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
41, RS,FARROUPILHA,4307906,2018/07/25,jul.,2018,"840 000,00","840 000,00","4,00","24,00","120,00",Commerce and Services,Commerce,Specialized Wholesale of Food Products (Not Elsewhere Classified),Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
42, MG,BELO HORIZONTE,3106200,2018/07/25,jul.,2018,"17 115,00","16 847,00","4,00","3,00","57,00",Commerce and Services,"Real Estate, Professional and Administrative Activities",Accounting Activities,Commerce and Services,Commerce and Services,Micro,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
43, MG,UBERABA,3170107,2018/07/25,jul.,2018,"1 616 240,00","1 482 285,00","4,00","12,00","48,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Medium,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
44, MG,UBERABA,3170107,2018/07/25,jul.,2018,"1 261 853,00","1 116 585,00","4,00","12,00","48,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Medium,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
45, RS,VIAMAO,4323002,2018/07/25,jul.,2018,"2 138 624,00","2 138 624,00","4,50","24,00","120,00",Commerce and Services,Education,Educational Support Activities (Except School Funds),Commerce and Services,Commerce and Services,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
46, RS,NOVA SANTA RITA,4313375,2018/07/25,jul.,2018,"2 961 920,00","2 961 920,00","4,50","24,00","120,00",Commerce and Services,Education,Educational Support Activities (Except School Funds),Commerce and Services,Commerce and Services,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
47, SC,SAO DOMINGOS,4216107,2018/07/27,jul.,2018,"110 400,00","110 400,00","4,00","3,00","141,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
48, PR,MUNHOZ DE MELO,4116307,2018/08/09,ago.,2018,"3 417 984,00","3 417 984,00","3,90","18,00","126,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
49, PR,TIBAGI,4127502,2018/08/09,ago.,2018,"4 272 480,00","4 272 480,00","3,90","18,00","126,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
50, RS,CARAZINHO,4304705,2018/08/13,ago.,2018,"39 200,00","39 200,00","4,00","3,00","55,00",Commerce and Services,Education,Driver Training,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
51, RS,ELDORADO DO SUL,4306767,2018/08/13,ago.,2018,"89 404,00","86 732,00","4,00","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
52, RS,IRAI,4310504,2018/08/16,ago.,2018,"477 492,00","477 492,00","4,00","6,00","138,00",Commerce and Services,Accommodation and Food Services,Hotels,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
53, SC,SAUDADES,4217303,2018/08/16,ago.,2018,"84 392,00","84 392,00","4,00","24,00","120,00",Commerce and Services,Accommodation and Food Services,Hotels,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
54, SC,XANXERE,4219507,2018/08/16,ago.,2018,"240 000,00","240 000,00","4,00","12,00","120,00",Manufacturing,Machinery and Equipment,Manufacture of Agricultural Machinery and Equipment (Except Irrigation),Industry,Mechanical,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
55, SC,PINHALZINHO,4212908,2018/08/16,ago.,2018,"44 682,00","44 682,00","4,00","6,00","72,00",Manufacturing,Apparel and Accessories,Manufacture of Professional Apparel,Industry,Textiles and Clothing,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
56, MG,SAO JOAO DO PARAISO,3162708,2018/08/17,ago.,2018,"21 949,00","21 563,00","4,00","3,00","45,00",Commerce and Services,Commerce,Retail Trade of Motor Vehicle Parts and Accessories,Commerce and Services,Commerce and Services,Micro,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
57, MG,LAGOA SANTA,3137601,2018/08/17,ago.,2018,"23 828,00","23 751,00","4,00","3,00","36,00",Commerce and Services,Commerce,Other Commercial Representatives and Agents (Not Elsewhere Classified),Commerce and Services,Commerce and Services,Micro,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
58, MG,PARA DE MINAS,3147105,2018/08/17,ago.,2018,"751 053,00","742 845,00","4,00","12,00","48,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Medium,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
59, MG,JOAO PINHEIRO,3136306,2018/08/17,ago.,2018,"28 921,00","23 085,00","4,00","3,00","57,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Micro,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
60, PR,PALMAS,4117602,2018/08/22,ago.,2018,"1 840 354,00","1 472 283,00","4,50","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
61, MS,NOVA ALVORADA DO SUL,5006002,2018/09/06,set.,2018,"3 130 809,00","3 130 809,00","4,50","24,00","72,00",Commerce and Services,Commerce,Retail Trade of Household Appliances and Audio-Video Equipment,Commerce and Services,Commerce and Services,Large,AGENCIA DE FOMENTO DO PARANA SA
62, MG,UBERLANDIA,3170206,2018/10/24,out.,2018,"229 933,00","229 933,00","4,03","6,00","57,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
63, PR,MANOEL RIBAS,4114500,2018/10/30,out.,2018,"280 000,00","280 000,00","4,03","6,00","66,00",Commerce and Services,Electricity and Gas,Electric Power Generation from Alternative Sources,Infrastructure,Electric Power,No size,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
64, MG,FRUTAL,3127107,2018/11/05,nov.,2018,"40 067,00","40 007,00","4,03","3,00","57,00",Commerce and Services,Commerce,Retail Trade of Motor Vehicle Parts and Accessories,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
65, MG,UBERLANDIA,3170206,2018/11/05,nov.,2018,"193 060,00","192 770,00","4,03","3,00","57,00",Commerce and Services,Commerce,"Retail Trade of Food Products (General or Specialized, Not Elsewhere Classified)",Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
66, PR,PEROLA D'OESTE,4119004,2018/11/05,nov.,2018,"47 918,00","47 917,00","4,03","6,00","138,00",Commerce and Services,Commerce,Retail Trade of Construction Materials,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
67, RS,BOA VISTA DO CADEADO,4302220,2018/11/05,nov.,2018,"74 646,00","74 646,00","4,03","12,00","132,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
68, MG,CAMPOS GERAIS,3111606,2018/11/05,nov.,2018,"98 127,00","96 954,00","4,03","3,00","57,00",Manufacturing,Food Products,Manufacture of Bakery and Confectionery Products,Industry,Food and Beverages,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
69, MG,UBERLANDIA,3170206,2018/11/05,nov.,2018,"86 957,00","86 891,00","4,03","3,00","57,00",Commerce and Services,Commerce,Retail Trade of Motor Vehicle Parts and Accessories,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
70, RS,CONSTANTINA,4305801,2018/11/08,nov.,2018,"100 000,00","100 000,00","4,03","6,00","138,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
71, RS,ARROIO DO MEIO,4301008,2018/11/08,nov.,2018,"265 146,00","261 247,00","4,03","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
72, PR,CORONEL VIVIDA,4106506,2018/11/14,nov.,2018,"294 400,00","294 400,00","4,03","6,00","90,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
73, MG,JANAUBA,3135100,2018/11/14,nov.,2018,"5 200 000,00","3 248 000,00","4,03","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
74, MG,BELO HORIZONTE,3106200,2018/11/16,nov.,2018,"127 508,00","126 237,00","4,03","3,00","57,00",Commerce and Services,Commerce,Automotive Body Repair and Painting Services,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
75, RS,PANAMBI,4313904,2018/11/16,nov.,2018,"56 428,00","56 428,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
76, PR,SANTO ANTONIO DO SUDOESTE,4124400,2018/11/16,nov.,2018,"87 600,00","87 600,00","4,03","0,00","120,00",Manufacturing,Apparel and Accessories,Manufacture of Apparel (Except Underwear and Custom-Made),Industry,Textiles and Clothing,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
77, SC,SAO JOSE DO CEDRO,4216701,2018/11/16,nov.,2018,"48 000,00","48 000,00","4,03","12,00","60,00",Manufacturing,Furniture,Manufacture of Wooden Furniture,Industry,Others,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
78, RS,CATUIPE,4305009,2018/11/16,nov.,2018,"71 176,00","71 176,00","4,03","3,00","57,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
79, SC,MAREMA,4210555,2018/11/16,nov.,2018,"64 000,00","64 000,00","4,03","24,00","120,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
80, RS,ESTANCIA VELHA,4307609,2018/11/16,nov.,2018,"350 240,00","350 240,00","4,03","12,00","108,00",Manufacturing,Textile,Manufacture of Special Textiles and Related Products,Industry,Textiles and Clothing,Small,BADESUL DESENVOLVIMENTO SA - AGENCIA DE FOMENTO/RS
81, RS,CONSTANTINA,4305801,2018/11/16,nov.,2018,"542 769,00","542 769,00","4,03","6,00","138,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
82, MG,JOAO PINHEIRO,3136306,2018/11/19,nov.,2018,"4 000 000,00","4 000 000,00","4,03","24,00","120,00",Commerce and Services,"Real Estate, Professional and Administrative Activities",Rental of Machinery and Equipment Without Operator (Not Elsewhere Classified),Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
83, PR,ARAPONGAS,4101507,2018/11/21,nov.,2018,"527 200,00","527 200,00","4,03","6,00","90,00",Commerce and Services,Electricity and Gas,Electric Power Generation from Alternative Sources,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
84, RS,GUAPORE,4309407,2018/11/23,nov.,2018,"44 075,00","44 075,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
85, PR,CURITIBA,4106902,2018/11/26,nov.,2018,"61 878,00","61 878,00","4,03","6,00","90,00",Commerce and Services,Education,Early Childhood Education (Pre-School),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
86, PR,AMPERE,4101002,2018/11/26,nov.,2018,"17 352,00","17 352,00","4,03","6,00","84,00",Commerce and Services,Commerce,Retail Trade of IT Equipment and Supplies,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
87, SC,CHAPECO,4204202,2018/11/28,nov.,2018,"10 126,00","9 960,00","4,03","3,00","141,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
88, RS,VILA FLORES,4323309,2018/11/28,nov.,2018,"147 648,00","147 648,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
89, RS,PASSO FUNDO,4314100,2018/12/04,dez.,2018,"42 464,00","42 464,00","4,03","6,00","138,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
90, BA,IRECE,2914604,2018/12/05,dez.,2018,"255 000,00","255 000,00","4,03","24,00","120,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Small,DESENBAHIA-AGENCIA DE FOMENTO DO ESTADO DA BAHIA S/A
91, MG,CARRANCAS,3114600,2018/12/05,dez.,2018,"95 222,00","94 960,00","4,03","6,00","42,00",Commerce and Services,Accommodation and Food Services,Hotels,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
92, PR,SANTO ANTONIO DO SUDOESTE,4124400,2018/12/06,dez.,2018,"60 000,00","60 000,00","4,03","24,00","60,00",Commerce and Services,Commerce,Bakery and Confectionery (Resale-Based),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
93, SC,PINHALZINHO,4212908,2018/12/06,dez.,2018,"91 136,00","91 136,00","4,03","3,00","141,00",Commerce and Services,"Arts, Culture and Sports",Fitness Activities,Commerce and Services,Commerce and Services,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
94, RS,HULHA NEGRA,4309654,2018/12/06,dez.,2018,"78 400,00","78 400,00","4,03","3,00","45,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
